Date,Transaction ID,Customer ID,Gender,Age,Category,Quantity,Price per Unit,Total Amount,Age Group
2023-11-24,1,CUST001,M,34,Beauty,3,50,150,31-40
2023-02-27,2,CUST002,F,26,Clothing,2,500,1000,21-30
2023-01-13,3,CUST003,M,50,Electronics,1,30,30,41-50
2023-05-21,4,CUST004,M,37,Clothing,1,500,500,31-40
2023-05-06,5,CUST005,M,30,Beauty,2,50,100,21-30
2023-04-25,6,CUST006,F,45,Beauty,1,30,30,41-50
2023-03-13,7,CUST007,M,46,Clothing,2,25,50,41-50
2023-02-22,8,CUST008,M,30,Electronics,4,25,100,21-30
2023-12-13,9,CUST009,M,63,Electronics,2,300,600,60+
2023-10-07,10,CUST010,F,52,Clothing,4,50,200,51-60
2023-02-14,11,CUST011,M,23,Clothing,2,50,100,21-30
2023-10-30,12,CUST012,M,35,Beauty,3,25,75,31-40
2023-08-05,13,CUST013,M,22,Electronics,3,500,1500,21-30
2023-01-17,14,CUST014,M,64,Clothing,4,30,120,60+
2023-01-16,15,CUST015,F,42,Electronics,4,500,2000,41-50
2023-02-17,16,CUST016,M,19,Clothing,3,500,1500,<20
2023-04-22,17,CUST017,F,27,Clothing,4,25,100,21-30
2023-04-30,18,CUST018,F,47,Electronics,2,25,50,41-50
2023-09-16,19,CUST019,F,62,Clothing,2,25,50,60+
2023-11-05,20,CUST020,M,22,Clothing,3,300,900,21-30
2023-01-14,21,CUST021,F,50,Beauty,1,500,500,41-50
2023-10-15,22,CUST022,M,18,Clothing,2,50,100,<20
2023-04-12,23,CUST023,F,35,Clothing,4,30,120,31-40
2023-11-29,24,CUST024,F,49,Clothing,1,300,300,41-50
2023-12-26,25,CUST025,F,64,Beauty,1,50,50,60+
2023-10-07,26,CUST026,F,28,Electronics,2,500,1000,21-30
2023-08-03,27,CUST027,F,38,Beauty,2,25,50,31-40
2023-04-23,28,CUST028,F,43,Beauty,1,500,500,41-50
2023-08-18,29,CUST029,F,42,Electronics,1,30,30,41-50
2023-10-29,30,CUST030,F,39,Beauty,3,300,900,31-40
2023-05-23,31,CUST031,M,44,Electronics,4,300,1200,41-50
2023-01-04,32,CUST032,M,30,Beauty,3,30,90,21-30
2023-03-23,33,CUST033,F,50,Electronics,2,50,100,41-50
2023-12-24,34,CUST034,F,51,Clothing,3,50,150,51-60
2023-08-05,35,CUST035,F,58,Beauty,3,300,900,51-60
2023-06-24,36,CUST036,M,52,Beauty,3,300,900,51-60
2023-05-23,37,CUST037,F,18,Beauty,3,25,75,<20
2023-03-21,38,CUST038,M,38,Beauty,4,50,200,31-40
2023-04-21,39,CUST039,M,23,Clothing,4,30,120,21-30
2023-06-22,40,CUST040,M,45,Beauty,1,50,50,41-50
2023-02-22,41,CUST041,M,34,Clothing,2,25,50,31-40
2023-02-17,42,CUST042,M,22,Clothing,3,300,900,21-30
2023-07-14,43,CUST043,F,48,Clothing,1,300,300,41-50
2023-02-19,44,CUST044,F,22,Clothing,1,25,25,21-30
2023-07-03,45,CUST045,F,55,Electronics,1,30,30,51-60
2023-06-26,46,CUST046,F,20,Electronics,4,300,1200,<20
2023-11-06,47,CUST047,F,40,Beauty,3,500,1500,31-40
2023-05-16,48,CUST048,M,54,Electronics,3,300,900,51-60
2023-01-23,49,CUST049,F,54,Electronics,2,500,1000,51-60
2023-08-24,50,CUST050,F,27,Beauty,3,25,75,21-30
2023-10-02,51,CUST051,M,27,Beauty,3,25,75,21-30
2023-03-05,52,CUST052,F,36,Beauty,1,300,300,31-40
2023-07-13,53,CUST053,M,34,Electronics,2,50,100,31-40
2023-02-10,54,CUST054,F,38,Electronics,3,500,1500,31-40
2023-10-10,55,CUST055,M,31,Beauty,4,30,120,31-40
2023-05-31,56,CUST056,F,26,Clothing,3,300,900,21-30
2023-11-18,57,CUST057,F,63,Beauty,1,30,30,60+
